keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
jewellery,21,15.9,['Jewellery'],4.01,1976.0,1,
bracelet,21,12.3,['Jewellery'],3.93,1389.0,1,
stylish,21,15.7,"['Jewellery', 'Clothing Women']",4.01,1605.0,2,36.7
combo,21,12.8,"['Household Cleaners', 'Jewellery', 'Sun Care', 'Toilet Cleaners', 'Clothing Women']",4.03,373.0,5,19.8
acne,21,21.5,"['Beauty', 'Skincare', 'Body Care']",4.15,19831.0,3,33.5
hydration,21,22.2,"['Beauty', 'Skincare', 'Body Care']",4.38,36051.0,3,37.7
belt,21,15.0,['Clothing Women'],4.14,3350.0,1,
stains,21,16.5,"['Household Cleaners', 'Toilet Cleaners']",4.19,12112.0,2,30.9
fashion,20,17.9,['Jewellery'],4.04,1178.0,1,
face wash,20,16.7,"['Beauty', 'Skincare']",4.17,16177.0,2,30.799999999999997
paraben,20,9.4,"['Beauty', 'Skincare', 'Hair Care', 'Body Care']",4.2,22639.0,4,27.4
unisex,20,10.8,"['Beauty', 'Skincare', 'Hair Care', 'Clothing Women']",4.12,14774.0,4,23.8
moisturizer,20,19.3,"['Beauty', 'Skincare', 'Body Care']",4.37,38668.0,3,35.3
brightening,20,13.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.0,24300.0,4,29.8
original,20,21.5,"['Books', 'Household Cleaners', 'Food', 'Toilet Cleaners', 'Body Care']",4.5,33096.0,5,43.5
length,20,16.8,['Clothing Women'],4.1,6684.0,1,
fast,19,13.8,"['Sun Care', 'Electronics']",4.09,36277.0,2,18.1
design,19,18.7,"['Pet Care', 'Jewellery', 'Toys', 'Electronics', 'Kitchen']",4.1,9379.0,5,34.9
latest,19,17.3,"['Books', 'Jewellery']",3.95,1488.0,2,35.0
non-greasy,19,9.7,"['Beauty', 'Skincare', 'Sun Care']",4.23,19684.0,3,23.6
bath,19,1.6,"['Beauty', 'Skincare', 'Kitchen', 'Body Care']",4.14,20089.0,4,16.6
normal,19,13.2,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.28,25973.0,4,28.6
sensitive skin,19,12.6,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.32,21550.0,4,30.200000000000003
hyaluronic acid,19,10.6,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.3,23008.0,5,26.6
pure,19,15.8,"['Beauty', 'Food', 'Skincare', 'Hair Care', 'Body Care']",4.28,22949.0,5,28.3
sunscreen spf,19,11.5,"['Beauty', 'Skincare', 'Sun Care']",4.18,14930.0,3,27.9
dry skin,19,17.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.33,60197.0,4,36.2
home,19,17.4,"['Household Cleaners', 'Toys', 'Toilet Cleaners', 'Kitchen']",3.96,8360.0,4,28.4
books,19,15.0,"['Books', 'Toys']",4.45,13004.0,2,28.3
for boys,19,15.2,['Toys'],4.11,6327.0,1,
